# OpenClaw Nightly Scan — Full Scored PR Report
# Generated: 2026-02-27
# Total scored: 5053
# Score >= 80: 166
# Score >= 70: 1974
#
# Format: SCORE | PR# | INTENT | TITLE
# ====================================================================================================

# ── CRITICAL (score >= 90) ──────────────────────────────────────────
 76 | #22636  | bugfix     | fix(whatsapp): skip pairing store merge when dmPolicy is allowlist (#…
 76 | #22654  | bugfix     | fix(signal): join debounced messages with actual newline instead of literal \\n
 76 | #22694  | bugfix     | telegram: stabilize multi-account webhook mode
 76 | #22977  | bugfix     | fix(ui): resolve agent names from config in session dropdown
 76 | #23015  | refactor   | Onboard: store OpenAI auth in profiles instead of .env
 76 | #23026  | refactor   | Onboard: move volcengine/byteplus auth from .env to profiles
 76 | #23134  | bugfix     | fix(gateway): skip auto-restart for webhook channels that resolve immediately
 76 | #23292  | bugfix     | fix(mac): correct sparkle:version for 2026.2.21 in appcast.xml
 76 | #23296  | bugfix     | fix(cli): correct memory search help example syntax
 76 | #23397  | bugfix     | fix(memory): raise qmd sqlite busy_timeout for read stability
 76 | #23480  | bugfix     | fix(test): use path.join for cross-platform XDG path assertions in qmd-manager
 76 | #23505  | feature    | feat(session): add mode: "off" to disable automatic session reset
 76 | #23597  | bugfix     | fix(mac): stop Sparkle updater from offering downgrades as updates
 76 | #23730  | bugfix     | fix(update): correctly compare versions with -N build suffix
 76 | #23787  | bugfix     | Handle transient Slack request errors without crashing the gateway
 76 | #23898  | feature    | feat: run compaction LLM calls in isolated worker_threads.Worker
 76 | #24007  | bugfix     | fix(hooks): session-memory reads wrong file when .reset.* and new session coexis
 76 | #24070  | chore      | test(exec): fix Windows-flaky sandbox implicit default test
 76 | #24112  | bugfix     | fix(media): include $TMPDIR in default media local roots
 76 | #24125  | bugfix     | fix(discord): handle ChannelNameChange as system event
 76 | #24283  | bugfix     | fix(slack): fail fast when socket mode disconnects
 76 | #24293  | bugfix     | fix(daemon): treat degraded systemd user manager as available
 76 | #24302  | bugfix     | fix(agents): narrow embedded runner abort detection
 76 | #24327  | feature    | Feat/control UI csp config
 76 | #24339  | bugfix     | fix(discord): keep active voice session on stale disconnect events
 76 | #24422  | bugfix     | Message tool: reject read messageId silent ignore
 76 | #24426  | bugfix     | plugins: suppress duplicate id warning for disabled bundled collisions
 76 | #24594  | feature    | feat(agents): configurable default runTimeoutSeconds for subagent spawns
 76 | #24604  | feature    | feat(gateway): return actual token usage in /v1/chat/completions
 76 | #24659  | bugfix     | fix(discord): strip reasoning tags from partial stream preview
 76 | #24675  | bugfix     | Providers: disable developer role for DashScope-compatible endpoints
 76 | #24715  | feature    | feat: add per-channel reasoning-level overrides for core channels
 76 | #24726  | bugfix     | fix(plugins): clear entries disabled state when enabling built-in channel
 76 | #24745  | bugfix     | fix: resolve agent names from config in session dropdown
 76 | #24751  | bugfix     | fix(whatsapp): groupAllowFrom sender filter bypassed when groupPolicy is allowli
 76 | #24791  | bugfix     | fix(web_search): normalize Brave locale/language params
 76 | #24792  | bugfix     | fix(status): do not flag gateway own port listener as conflict
 76 | #24796  | bugfix     | fix(plugins): use manifest id as config entry key instead of npm package name
 76 | #24809  | bugfix     | fix(web): avoid stale socket reply loss during reconnect
 76 | #24896  | bugfix     | fix(update): fallback to --omit=optional when global npm update fails
 76 | #25320  | bugfix     | fix(doctor): suppress human-readable note() output in --json mode
 76 | #25348  | feature    | feat(runtime): add opt-in K-candidate plan-search MVP
 76 | #26177  | feature    | feat(memory): add configurable ftsMode (and/or) for hybrid FTS5 queries
 76 | #26576  | bugfix     | Fix: Auto-resolve agent's bound accountId in message tool
 76 | #26577  | bugfix     | fix(models): resolve gemini/ provider prefix and add Gemini forward-compat fallb
 76 | #26668  | feature    | MSTeams: add upload session fallback for large files
 76 | #26679  | feature    | Exec: add sandbox hint for approval timeouts
 76 | #26839  | bugfix     | Gemini OAuth: resolve npm global shim install layouts
 76 | #26876  | bugfix     | fix(status): show actual routed model in /status after fallback
 76 | #27144  | feature    | feat(signal): add typed RPC errors and retry with backoff
 76 | #27525  | bugfix     | fix(feishu): stop typing-indicator log spam and stuck emoji on message-not-found
 76 | #27527  | bugfix     | fix: allow OpenAI providers to use cacheRetention for extended prompt cache
 76 | #27642  | bugfix     | fix(slack): extract attachment text for bot messages with empty text (#27616)
 76 | #27735  | bugfix     | fix: sessions.list reflects selected model immediately (incl. default)
 76 | #28193  | bugfix     | fix(secrets): respect timeoutMs config for exec provider no-output timeout fallb
 76 | #28301  | feature    | feat(gateway): add config to disable Bonjour/mDNS (fix #28174)
 76 | #28317  | feature    | Feat/my changes
 76 | #28358  | bugfix     | fix(secrets): default exec noOutputTimeoutMs to timeoutMs (closes #28161)
 76 | #28522  | bugfix     | fix: handle HTTP 529 (Anthropic overloaded) in model failover
 75 | #4567   | bugfix     | Webchat: canonicalize main session key for /new (fix #4446)
 75 | #4665   | bugfix     | fix(slack): reject HTML responses when downloading media
 75 | #5040   | bugfix     | fix(config): migrate audio.transcription with any CLI command
 75 | #5665   | bugfix     | fix: match group JIDs in groupAllowFrom allowlist
 75 | #5920   | bugfix     | fix: DeepSeek API compatibility - convert developer role to system (#5704)
 75 | #7141   | bugfix     | fix(telegram): unify network error detection to prevent poll crashes
 75 | #7535   | bugfix     | fix(voice-call): queue realtime transcript waiters
 75 | #7852   | bugfix     | fix(gateway): use port from Host header for canvasHostUrl (reverse proxy support
 75 | #8020   | bugfix     | fix(build): use entry alias to output plugin-sdk in subdirectory
 75 | #8073   | bugfix     | fix(plugins): add --ignore-scripts to npm install
 75 | #8390   | feature    | feat: notify user when fallback model is used (#8182)
 75 | #9905   | bugfix     | fix: require provider prefix for models set without alias (#5790)
 75 | #10056  | bugfix     | fix: allow extra fields in HookConfig schema
 75 | #10108  | bugfix     | fix: override stale Anthropic OAuth stealth headers for Opus 4.6
 75 | #11920  | feature    | Telegram: create forum topics via message tool (thread-create)
 75 | #12076  | bugfix     | fix(skills): recursive directory filtering to actually exclude venv/node_modules
 75 | #12760  | bugfix     | fix(memory-flush): fire on every compaction cycle instead of skipping alternate 
 75 | #12982  | bugfix     | fix(cron): prevent status/list from advancing overdue job nextRunAtMs
 75 | #13191  | bugfix     | pi-embedded: enable failover when per-agent fallbacks are configured
 75 | #13401  | bugfix     | fix: slug generator should use agent's primary model instead of hardcoded anthro
 75 | #13451  | feature    | feat(matrix): add forceRoomRouting to bypass DM detection for allowlisted rooms
 75 | #13772  | feature    | feat: memory monitor, chat buffer leak fix, zombie exec session reaping
 75 | #14466  | bugfix     | fix(status): report memory status for all memory plugins (#14261)
 75 | #14674  | feature    | feat(feishu): add feishu_chat tool for chat info/member queries
 75 | #14836  | bugfix     | fix: strip apiKey from models.json to prevent credential exposure
 75 | #15307  | bugfix     | fix(memory): handle mixed/no-results QMD query output
 75 | #15603  | bugfix     | fix(gateway): correct malformed HTTP 429 response on WebSocket upgrade
 75 | #15727  | bugfix     | fix(routing): resolve channel default account instead of hardcoded 'default'
 75 | #15784  | bugfix     | fix: timestamp parsing should convert seconds to milliseconds
 75 | #15857  | bugfix     | fix: recognize safe shell builtins in exec-approvals allowlist
 75 | #16554  | bugfix     | fix(agent): prevent session deadlock on timeout during tool execution
 75 | #16997  | bugfix     | fix(telegram): preserve entities during text fragment reassembly
 75 | #17438  | feature    | feat(whatsapp): add blockFrom support for sender blocklisting
 75 | #17629  | bugfix     | fix(telegram): fall back to plain text when HTML formatter produces empty output
 75 | #17657  | bugfix     | fix: clear QMD manager cache on in-process restart (SIGUSR1)
 75 | #17680  | refactor   | perf(cli): skip plugin loading during completion generation
 75 | #17769  | bugfix     | fix(telegram): preserve reply text in threaded mode dispatch
 75 | #17845  | feature    | feat(onboard): add built-in Fireworks provider
 75 | #17882  | bugfix     | fix: drop WhatsApp pairing reply for unconfigured accounts
 75 | #17921  | feature    | feat: add spawnableBy bidirectional sub-agent spawn authorization
 75 | #18191  | bugfix     | fix(cron): prevent scheduler freeze during rapid create/delete cycles (#18121)
 75 | #18192  | bugfix     | fix(cron): auto-clear stale runningAtMs markers after timeout (#18120)
 75 | #18236  | bugfix     | macOS daemon: bootstrap LaunchAgent on gateway start after stop
 75 | #18432  | bugfix     | fix(agents): clear active run state immediately on embedded timeout
 75 | #18511  | bugfix     | fix(signal): signal:-prefixed phone numbers fail target resolution (#18495)
 75 | #18763  | bugfix     | fix(slack): add auth header when downloading forwarded attachment images
 75 | #18801  | bugfix     | fix(routing): use fresh config in resolveAgentRoute to prevent stale bindings
 75 | #18852  | bugfix     | fix: Voice-call state persistence is fire-and-forget, causing silent rec
 75 | #18935  | bugfix     | fix(agents): suppress reasoning blocks from channel delivery
 75 | #18988  | feature    | feat(config): add support for config warnings and improve validation 
 75 | #19084  | bugfix     | fix: Brave Search baseUrl and Inter-session Message Role
 75 | #19171  | bugfix     | fix(feishu): pass mediaLocalRoots to sendMediaFeishu for agent-scoped workspaces
 75 | #19177  | bugfix     | fix: use parseAgentSessionKey instead of fragile split pattern
 75 | #19200  | bugfix     | fix(cli): validate --session-id is not a session key format
 75 | #19304  | bugfix     | fix(matrix): preserve room ID casing in directory resolution (#19278)
 75 | #19389  | bugfix     | Fix #2248: Allow insecure auth bypass when device signature validation fails
 75 | #19391  | bugfix     | fix(process): destroy stdio streams on dispose and terminate children on shutdow
 75 | #19495  | bugfix     | fix: handle Chrome process re-parenting on Windows
 75 | #19504  | bugfix     | fix(gateway): avoid stale running status from Windows Scheduled Task
 75 | #19614  | bugfix     | fix: clear browser element refs on failover to prevent stale ref errors
 75 | #19655  | bugfix     | Fix/context window provider keying
 75 | #19826  | bugfix     | fix: add in-prompt warnings and doctor check for bootstrap file truncation
 75 | #19876  | feature    | feat(web-search): add SerpAPI search provider support
 75 | #19920  | bugfix     | fix(memory): populate FTS index in FTS-only mode so search returns results
 75 | #19947  | bugfix     | fix(imessage): hash-based echo detection and is_from_me early exit
 75 | #20148  | bugfix     | fix(memory): persist session dirty state and fix reindex gate
 75 | #20190  | feature    | WhatsApp: normalize BR 9th-digit outbound targets
 75 | #20278  | bugfix     | Fix/matrix missing bot sdk dependency
 75 | #20304  | feature    | feat(feishu): support Docx table create/write + image/file upload actions in fei
 75 | #20413  | docs       | docs: clarify slash command authorization model and ownerAllowFrom
 75 | #20435  | bugfix     | fix(exec): prioritize user 'always allow' config over tool defaults (ai-assisted
 75 | #20555  | bugfix     | fix(gateway): detect launchd supervision via XPC_SERVICE_NAME
 75 | #20945  | bugfix     | fix: strip thinking blocks with field-name signatures from OpenAI-compat session
 75 | #20966  | bugfix     | fix(memory/qmd): migrate orphaned unscoped collections on upgrade
 75 | #20991  | bugfix     | fix(sandbox): fall back to gateway UID:GID when no user is configured (#20979)
 75 | #21054  | bugfix     | fix(cli): fix memory search hang — close undici pool + destroy QMD stdio on time
 75 | #21271  | bugfix     | fix(commands): pass channel/capabilities/shell/os to runtime in commands system 
 75 | #21462  | bugfix     | fix(agents): hold back partial NO_REPLY token in pi-embedded streaming
 75 | #21491  | bugfix     | fix: classify Google 503 UNAVAILABLE as transient failover [AI-assisted]
 75 | #21509  | bugfix     | fix: show requestedHost instead of configuredHost in exec host error hint
 75 | #21521  | bugfix     | fix: re-resolve skill paths at runtime for cross-machine portability
 75 | #21562  | bugfix     | fix: exec host error message shows configuredHost instead of requestedHost
 75 | #21599  | bugfix     | fix(xai): extend Grok model prefix support + add native Responses API config
 75 | #21701  | bugfix     | fix(agents): handle JSON array output from Claude Code CLI
 75 | #21790  | bugfix     | fix(msteams): deliver thread replies via continueConversation to survive proxy e
 75 | #21882  | feature    | feat(gateway): filter models.list by agents.defaults.models allowlist
 75 | #22112  | bugfix     | fix(doctor): warn when gateway is network-exposed without TLS
 75 | #22119  | feature    | feat(tui): queue user messages while a run is active
 75 | #22131  | bugfix     | fix: clear seqByRun entries in clearAgentRunContext to prevent memory leak
 75 | #22285  | feature    | Voice-call: add onCallEnded lifecycle callback
 75 | #22368  | bugfix     | fix: first-token timeout + provider-level skip for model fallback
 75 | #22462  | feature    | CLI: add config path subcommand to print active config file path
 75 | #22808  | chore      | test(ui): split baseline browser-test fixes from webchat feature
 75 | #22998  | bugfix     | fix(config): add modelByChannel to allowed channels keys
 75 | #23019  | bugfix     | fix(hooks): use globalThis singleton for internal hooks handlers Map
 75 | #23074  | bugfix     | fix(synology-chat): prevent restart loop in startAccount
 75 | #23092  | bugfix     | fix: make sponsor logos visible in light mode
 75 | #23174  | feature    | feat(security): credential leak prevention — exfiltration patterns, outbound sca
 75 | #23175  | feature    | feat(security): runtime safety — transcript retention, tool call budget, token r
 75 | #23221  | bugfix     | fix(cron): recover flat patch params for update action and fix schema
 75 | #23229  | bugfix     | fix(subagent-announce): gate queued delivery on channel deliverability and remov
 75 | #23256  | bugfix     | fix(providers): disable developer role for zhipu provider and bigmodel.cn
 75 | #23277  | bugfix     | fix(gateway): preserve scopes for localhost token-auth without device identity
 75 | #23286  | bugfix     | fix: use configured model in llm-slug-generator instead of hardcoded …
 75 | #23852  | bugfix     | fix(export): restore mangled template placeholders in session export HTML
 75 | #23913  | bugfix     | fix(agents): preserve threadId in nested subagent announce injections
 75 | #23974  | bugfix     | fix(gateway): import browser server module for control listener startup
 75 | #23980  | bugfix     | fix: make JSON file writes atomic to prevent auth-profile loss on restart
 75 | #24028  | bugfix     | fix: strip thinking blocks from old assistant messages during context pruning
 75 | #24123  | bugfix     | fix(gateway): use disable+kill instead of bootout for LaunchAgent stop
 75 | #24194  | bugfix     | fix(line): keep startAccount promise pending to prevent restart loop
 75 | #24274  | bugfix     | fix(synology-chat): fix outbound delivery, health monitor restart loop, and nati
 75 | #24394  | bugfix     | fix: attempt fallback providers when primary provider is exhausted
 75 | #24625  | bugfix     | fix(net): respect HTTP proxy env vars in web_fetch SSRF dispatcher
 75 | #24658  | bugfix     | fix(update): treat -N suffix as newer build in version comparisons
 75 | #24717  | bugfix     | fix(slack): resolve replyToMode per-message using chat type
 75 | #24728  | bugfix     | fix(browser): resolve symlinked parent dir for non-existent upload paths on macO
 75 | #24771  | bugfix     | fix(status): surface pairing-repair approval guidance
 75 | #24799  | bugfix     | fix(usage): warn when deleted sessions are excluded from totals
 75 | #26570  | bugfix     | fix(agents): add forward-compat fallback for google-gemini-cli gemini-3.1-pro/fl
 75 | #27088  | feature    | usage: include reset archives in session totals + add lifetime/session views
 74 | #3622   | bugfix     | fix(agents): drop orphan tool results
 74 | #4263   | bugfix     | fix(plugins): default configSchema when missing from manifest
 74 | #4402   | bugfix     | fix: store group messages from non-allowlisted senders as pending context
 74 | #4574   | bugfix     | - Fix Docker arm64 image crash (`exec format error`) caused by tag race conditio
 74 | #4793   | bugfix     | hooks: use configured model for slug generator
 74 | #5115   | bugfix     | fix: guard against undefined model.name in Ollama discovery (#5062)
 74 | #5496   | bugfix     | Fix: Windows path separators stripped in Gateway scheduled task
 74 | #5638   | bugfix     | fix: rewrite sessionFile paths during state dir migration
 74 | #6566   | bugfix     | fix: thread fileName through WhatsApp document send path
 74 | #6770   | bugfix     | fix(gateway): protect host-local transport fields from config.patch
 74 | #7247   | bugfix     | fix(telegram): abort stale getUpdates connections after long-poll timeout
 74 | #7317   | bugfix     | fix(security): harden zip extraction and hook token comparison
 74 | #8075   | bugfix     | fix(skills): add --ignore-scripts to all package managers
 74 | #8095   | bugfix     | fix(sessions): include accountId in deliveryContext for outbound per-peer DM ses
 74 | #8166   | bugfix     | fix(telegram): lifecycle fixes for duplicate messages and auto-recovery [AI-assi
 74 | #8228   | bugfix     | fix(link-understanding): block private IPs and internal hostnames in URL extract
 74 | #8467   | bugfix     | fix(github-copilot): add configurable IDE headers + fix null filtering
 74 | #8473   | bugfix     | fix(gateway): prevent spurious restarts on meta.lastTouchedAt changes
 74 | #8500   | bugfix     | fix: Remove workspace:* from devDependencies in voice-call plugin
 74 | #8598   | bugfix     | fix: emit agent events for CLI agents targeting webchat
 74 | #8742   | bugfix     | fix(webchat): hide internal system messages from UI (#7440)
 74 | #9012   | bugfix     | fix(memory): resilient flush for large sessions [AI-assisted]
 74 | #9221   | bugfix     | fix(skills): use skillKey for env config lookup in snapshots
 74 | #9430   | bugfix     | fix: accept flat params for cron.add tool action
 74 | #9467   | bugfix     | Cron: support flat params in cron.add tool call
 74 | #9657   | bugfix     | fix(doctor): warn when sandbox mode enabled without Docker
 74 | #9716   | feature    | feat(ui): add GitHub-style floating copy button to code blocks
 74 | #9782   | feature    | feat(hooks): implement session:start and session:end lifecycle events
 74 | #9947   | bugfix     | fix: preserve agent-events as standalone entry point for hook consumers
 74 | #10093  | bugfix     | fix: import gateway token from URL param into localStorage
 74 | #10186  | bugfix     | fix: clear model/provider override when /new starts a fresh session
 74 | #10231  | bugfix     | fix(voice-call): escape locale/language params in TwiML to prevent XML injection
 74 | #10726  | bugfix     | fix: re-read session store inside lock in updateLastRoute
 74 | #10786  | bugfix     | fix: strip thinking signatures from sessions_list and add includeThinking param
 74 | #11300  | feature    | feat(exec): make shell configurable via tools.exec.shell
 74 | #11305  | bugfix     | fix(logging): remove redundant subsystem prefix from log output
 74 | #11408  | bugfix     | Security: resolve symlink target permissions in safeStat; skip doctor config war
 74 | #11752  | bugfix     | fix(heartbeat): clamp setTimeout delay to 2^31-1 to prevent TimeoutOverflowWarni
 74 | #11869  | feature    | feat: Multi-account Matrix plugin with accountId routing
 74 | #11878  | bugfix     | fix: add missing error handler to execDocker child process
 74 | #11979  | bugfix     | fix: Change rootDir to project root to allow UI compilation
 74 | #12064  | bugfix     | fix: prevent chunker from truncating messages that fit within limit
 74 | #12191  | bugfix     | fix: guard against undefined model.input in display and scan layers
 74 | #12254  | bugfix     | fix: add minimum token guard to prevent double compaction after flush
 74 | #12310  | bugfix     | cron: pass agentDir to embedded runner for isolated sessions
 74 | #12358  | bugfix     | fix: Sessions format timestamps in sessions_history using userTimezone
 74 | #12468  | feature    | feat(mattermost): add read, search, and channel-list actions
 74 | #12581  | feature    | feat(hooks): emit session prune lifecycle event
 74 | #12582  | feature    | feat(hooks): emit gateway shutdown lifecycle events
 74 | #12949  | bugfix     | fix(bedrock): sanitize tool names for Bedrock Converse API constraints
 74 | #12956  | bugfix     | fix: guard .trim() calls on potentially undefined workspaceDir
 74 | #13045  | feature    | feat(doctor): add memory search embeddings provider health check
 74 | #13246  | feature    | feat: inject agent/session context as environment variables in exec commands
 74 | #13408  | bugfix     | fix(gateway): skip SIGUSR1 restart in config.patch for noop reload rules
 74 | #13415  | bugfix     | fix(hooks): bridge agent_end events to internal/workspace hooks
 74 | #13577  | bugfix     | fix(onboard): validate workspace directory before setup steps
 74 | #13584  | docs       | tools: add description to message tool channel parameter
 74 | #13590  | bugfix     | fix(slack): remove ack reaction after tool-only replies
 74 | #13665  | feature    | feat(web-search): add SearXNG as a search provider
 74 | #13707  | bugfix     | macOS: respect exec-approvals.json settings in gateway prompter
 74 | #13861  | feature    | feat(hooks): add session:compaction hook event
 74 | #14100  | bugfix     | fix(linux): add gio and trash-put fallbacks for moveToTrash
 74 | #14292  | bugfix     | fix(scripts): add js extension
 74 | #14328  | bugfix     | fix: strip incomplete tool_use blocks from errored/aborted messages to prevent p
 74 | #14330  | feature    | feat(compaction): structured summary template for safeguard mode
 74 | #14393  | feature    | feat: add standalone DeepSeek provider support
 74 | #14487  | feature    | feat(config): support per-agent compaction overrides (#14446)
 74 | #14567  | feature    | feat(hooks): add entire-checkpoints bundled hook for AI session tracking
 74 | #14640  | feature    | feat(agents): support per-agent temperature and maxTokens in agents.list[].model
 74 | #14647  | feature    | feat(plugins): allow before_agent_start hook to override model (#14585)
 74 | #14887  | feature    | feat(compaction): configurable auto-compaction notifications with optional metri
 74 | #14967  | bugfix     | fix(ui): replace Manual RPC text input with sorted method dropdown
 74 | #14977  | bugfix     | fix(telegram): remove ack reaction after block-streamed replies
 74 | #15239  | bugfix     | fix(compact): add execution-time fallback + transient retry for /compact
 74 | #15383  | bugfix     | fix(sessions_send): avoid announce delivery when announce step resolves to ANNOU
 74 | #15422  | bugfix     | fix(auto-reply): keep cron systemEvent payloads that start with 'Read HEARTBEAT.
 74 | #15595  | bugfix     | fix(browser): avoid local port conflicts for remote cdp
 74 | #15613  | bugfix     | fix(config): align default pipelines across loadConfig and readConfigFileSnapsho
 74 | #15689  | bugfix     | fix: propagate provider headers to inline model objects
 74 | #15815  | bugfix     | Fallback LLM doesn't trigger if primary model is local
 74 | #16464  | bugfix     | fix: harden OpenAI reasoning replay sanitization
 74 | #16777  | feature    | feat(gateway): add multimodal image support to /v1/chat/completions
 74 | #16938  | bugfix     | fix(media): reject unsupported URL schemes with clear error message
 74 | #17054  | feature    | Gateway: add commands.list method
 74 | #17452  | chore      | ci: Grant write perms for Issues for formal-conformance.yml
 74 | #17513  | bugfix     | fix(discord): respect groupPolicy in channel config fallback (#4555)
 74 | #17566  | feature    | memory-lancedb: support local OpenAI-compatible embeddings
 74 | #17705  | bugfix     | fix(gateway): allow trusted-proxy auth to bypass device-pairing gates
 74 | #17746  | bugfix     | fix(gateway): add shared-secret fallback to trusted-proxy auth dispatcher
 74 | #17816  | bugfix     | Fix media store cleanup ignoring subdirectories (e.g. inbound)
 74 | #18468  | bugfix     | fix(agents): prevent infinite retry loops in sub-agent completion announcements 
 74 | #18655  | bugfix     | fix(mattermost): preserve markdown formatting and native tables
 74 | #18697  | bugfix     | fix: include forward-compat models in model catalog for allowlist val…
 74 | #18708  | feature    | feat(messages): add suppressToolErrorWarnings config option
 74 | #18730  | bugfix     | fix(plugins): suppress duplicate ID warnings for intentional origin overrides
 74 | #18819  | feature    | Improve skill scanner with additional dangerous pattern detection
 74 | #18891  | feature    | feat(messages): extend suppressToolErrors to accept "all" mode
 74 | #18933  | bugfix     | fix(security): use timingSafeEqual for pairing code comparison
 74 | #19016  | bugfix     | fix(daemon): sanitize CRLF in schtasks batch script to prevent command injection
 74 | #19098  | bugfix     | fix(cli): improve update version check messaging
 74 | #19143  | bugfix     | fix: support target param in message tool send extraction
 74 | #19213  | bugfix     | Telegram: preserve DM topic thread in direct replies
 74 | #19252  | bugfix     | fix(agents): continue model fallback on failover text payloads
 74 | #19343  | bugfix     | Refactor chat state management: reset chat messages and queue on session change,
 74 | #19429  | bugfix     | Fix/custom bind host validation 
 74 | #19451  | bugfix     | fix(errors): surface provider hint for role-ordering failures
 74 | #19518  | bugfix     | fix: await block reply flush before tool execution
 74 | #19541  | bugfix     | fix: schedule nextWakeAtMs for isolated sessionTarget cron jobs
 74 | #19616  | feature    | feat(telegram): support custom apiRoot for Telegram Bot API
 74 | #19660  | bugfix     | fix: respect HTTP_PROXY/HTTPS_PROXY env vars for undici fetch
 74 | #19823  | bugfix     | fix(browser): stability improvements for headless Chrome
 74 | #19887  | bugfix     | fix: allow node role to call health RPC
 74 | #20025  | bugfix     | Fix Matrix messages silently dropped due to zero startup grace
 74 | #20049  | bugfix     | fix(model-selection): resolve short-name alias keys correctly
 74 | #20052  | bugfix     | fix(agents): suppress narration text when assistant message has tool calls (#200
 74 | #20146  | bugfix     | fix(agents): use label and model in subagent completion announce
 74 | #20317  | feature    | feat(webchat): add toggle to hide tool calls and thinking blocks
 74 | #20341  | feature    | feat(heartbeat): add circuit breaker for consecutive failures
 74 | #20355  | bugfix     | fix(gateway): enforce commands.restart guard for config.apply and config.patch
 74 | #20408  | feature    | Control UI: show refresh in-flight state on Overview
 74 | #20426  | feature    | feat: make llm_input/llm_output modifying hooks for middleware patterns
 74 | #20428  | feature    | feat: capture Anthropic rate-limit response headers to disk
 74 | #20454  | bugfix     | fix(memory): correct search help example to use positional argument [AI-assisted
 74 | #20567  | bugfix     | fix: validate model IDs against catalog before saving to config
 74 | #20580  | feature    | feat(hooks): bridge after_tool_call to internal hook handler system
 74 | #20603  | bugfix     | fix(gateway): scan all agents in usage.cost RPC (#20558)
 74 | #20640  | bugfix     | fix: prevent zsh glob expansion errors in exec commands
 74 | #20665  | bugfix     | fix(ollama): register API provider for completeSimple/compaction
 74 | #20697  | feature    | feat(discord): auto-resolve user mentions in message content
 74 | #20801  | bugfix     | fix: auto-select enabled account when only one is available
 74 | #20947  | feature    | feat: expand Copilot model catalog with anthropic-messages API
 74 | #21008  | bugfix     | fix: Rename --url to --cookie-url in browser cookies set
 74 | #21181  | bugfix     | fix(models): add gemini-3.1-pro-preview forward-compat for google-gemini-cli pro
 74 | #21210  | feature    | feat: add Groq as a cloud provider (#20691)
 74 | #21215  | bugfix     | Windows PowerShell reliability fixes (exec shim + Discord numeric parse + saniti
 74 | #21240  | bugfix     | fix: GH#20607 prevent doctor from dropping custom config sections
 74 | #21459  | bugfix     | fix(gateway): resolve port from profile config, not inherited env
 74 | #21503  | feature    | feat(doctor): validate fallback model providers are defined (#20909)
 74 | #21588  | bugfix     | fix(security): decouple external hook trust from session key format
 74 | #21617  | feature    | feat(i18n): added korean locale
 74 | #21661  | bugfix     | fix(agents): treat approval timeout as denial regardless of askFallback
 74 | #21682  | bugfix     | fix(heartbeat): propagate sessionKey in exec/hooks to fix async context loss
 74 | #21809  | bugfix     | fix(slack): prevent native command startup crash on options registration
 74 | #21890  | bugfix     | fix(whatsapp): propagate fromMe flag through DM message pipeline
 74 | #22069  | bugfix     | fix(agents): add provider-specific hints for local model auth errors
 74 | #22252  | bugfix     | fix(chrome-extension): connection validation and clarify relay port derivation
 74 | #22467  | bugfix     | fix:  failure while installing skills
 74 | #22618  | feature    | feat(tts): add OpenAI TTS speed parameter support
 74 | #22702  | bugfix     | fix(appcast): correct sparkle:version for 2026.2.13
 74 | #22712  | bugfix     | fix(gateway): auto-approve all device pairing for localhost connections
 74 | #22809  | bugfix     | fix(ui): preserve parent map rendering by carrying forward granular...
 74 | #22835  | feature    | feat: add tools.nodes.notifyOnExit config flag
 74 | #22846  | feature    | Config: add secret ref schema and redaction foundations
 74 | #22860  | bugfix     | fix(browser): add --ozone-platform=wayland for Wayland-only Linux desktops
 74 | #22896  | bugfix     | Handle Slack SDK .original in transient network detection
 74 | #22952  | bugfix     | fix(browser): suggest remote profile when local Chrome is not installed
 74 | #22957  | bugfix     | fix(feishu): download media from quoted messages in group chats (#22872)
 74 | #23000  | feature    | Secrets: add migrate rollback and skill ref support
 74 | #23238  | bugfix     | fix(telegram): account named "default" silently breaks inbound polling
 74 | #23301  | bugfix     | Gateway: prevent dev reset from touching default profile state
 74 | #23311  | bugfix     | fix(memory): expose maxOutputChars as configurable qmd limit
 74 | #23339  | bugfix     | fix: use snapshot.parsed for env ref restoration during migrate
 74 | #23382  | docs       | docs(feishu): add cardkit:card:write permission for streaming card output
 74 | #23503  | bugfix     | fix: preserve pairing state on device token mismatch + migrate legacy paired.jso
 74 | #23506  | feature    | feat(spawn): per-spawn tool permissions for sessions_spawn
 74 | #23573  | feature    | feat: add programmatic tool calling (PTC) support for Anthropic
 74 | #23709  | bugfix     | fix(synology-chat): resolve Chat API user_id for reply delivery
 74 | #23745  | bugfix     | fix(resilience): add timeout to unguarded fetch calls in browser subsystem
 74 | #23832  | bugfix     | Discord: handle early gateway startup errors
 74 | #23907  | bugfix     | fix: handle single-element array type in tryFlattenLiteralAnyOf
 74 | #23936  | bugfix     | fix: pass agentDir through /compact command pipeline
 74 | #23961  | bugfix     | fix: truncate prompt before embedding to avoid token overflow
 74 | #24027  | bugfix     | fix(feishu): pass mediaLocalRoots to loadWebMedia for local file access
 74 | #24039  | bugfix     | fix(logging): use local time in gateway console timestamps
 74 | #24061  | bugfix     | fix(daemon): ignore macOS app and node-host in gateway conflict detection
 74 | #24122  | feature    | feat(plugins): enable memory injection on every LLM call via llm_input hook
 74 | #24130  | bugfix     | fix(onboard): raise custom provider default context window from 4096 to 128k
 74 | #24276  | bugfix     | fix(matrix): remove memberCount===2 DM detection to prevent cross-room contamina
